BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.028011204,18,0.12605042,0.4932,3.8,0.365384615,0.026610644,10.4,0.072829132,17.7,0.12394958,1.701923077,142.8,61.2,81.6,0.571428571,16,0.112044818,4,1
0.026923077,19,0.121794872,0.88013,3.8,0.342342342,0.024358974,11.1,0.071153846,17.9,0.11474359,1.612612613,156,63,93,0.596153846,16,0.102564103,4.2,1
0.028695652,20,0.115942029,1.41779,3.9,0.348214286,0.022608696,11.2,0.064927536,19,0.110144928,1.696428571,172.5,66,106.5,0.617391304,16,0.092753623,4.95,1
0.020242915,17.3,0.116734143,-0.20027,3.4,0.333333333,0.02294197,10.2,0.068825911,16.3,0.109986505,1.598039216,148.2,58,90.2,0.608636977,14,0.094466937,3,1
0.026529338,19.4,0.121098627,1.25326,4,0.353982301,0.024968789,11.3,0.070536829,19,0.118601748,1.681415929,160.2,64.3,95.9,0.598626717,16.7,0.104244694,4.25,1
0.022727273,17.4,0.127565982,-0.60503,3,0.303030303,0.021994135,9.9,0.072580645,16.2,0.118768328,1.636363636,136.4,54.2,82.2,0.602639296,13.8,0.101173021,3.1,1
0.029351536,20,0.136518771,0.61284,3.6,0.330275229,0.024573379,10.9,0.07440273,17.4,0.118771331,1.596330275,146.5,63.4,83.1,0.567235495,14.9,0.101706485,4.3,0
0.02532833,21,0.131332083,0.71367,3.1,0.276785714,0.019387117,11.2,0.070043777,18.5,0.115697311,1.651785714,159.9,61,98.9,0.61851157,15.4,0.096310194,4.05,0
0.02268431,20.9,0.131695022,0.79741,3.7,0.339449541,0.02331443,10.9,0.06868305,17.5,0.110270951,1.605504587,158.7,63.5,95.2,0.599873976,15.7,0.098928796,3.6,0
0.024983777,19.1,0.12394549,0.4959,3.6,0.352941176,0.023361454,10.2,0.066190785,17.9,0.116158339,1.754901961,154.1,61,93.1,0.604153147,15.5,0.100584036,3.85,1
0.037426901,19.8,0.115789474,1.77068,3.8,0.324786325,0.022222222,11.7,0.068421053,18.7,0.109356725,1.598290598,171,71.2,99.8,0.583625731,16.5,0.096491228,6.4,1
0.021795706,20.3,0.132075472,0.24421,3,0.285714286,0.019518543,10.5,0.068314899,17.2,0.111906311,1.638095238,153.7,60.3,93.4,0.607677293,15.7,0.10214704,3.35,0
